DATE,PROD ID,CPH L1,CPH L2,CPH L3,CPH L4,PROD NAME,REGULAR PRICE,DISCOUNTED PRICE,DISCOUNT RATE
2025/06/01,MXGL3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) Cell,Watch SE (2nd Gen) Cell,APPLE WATCH SE 44 MI AL MI SB SM CEL-KOR,439000.0,434610.0,0.01
2025/06/01,MXNN2KH/A,Accessories,Mac Accessories,Other Mac,Mac Sleeves & Other,1TB SSD KIT FOR MAC PRO-KOR,803880.0,803880.0,0.0
2025/06/01,MWYW3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 46 SL TI SL ML ML CEL-KOR,1139000.0,1139000.0,0.0
2025/06/01,MWWA3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 42 SI AL DN SB SM GPS-KOR,599000.0,569050.0,0.05
2025/06/01,MYNL3KH/A,iPhone,iPhone 16 Pro,iPhone 16 Pro,iPhone 16 Pro,IPHONE 16 PRO NATURAL 256GB-KOR,1700000.0,1631700.0,0.0402
2025/06/01,MXEP3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 44 MI AL INK SL GPS-KOR,369000.0,359000.0,0.0271
2025/06/01,MD7T4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WF CL 512GB PNK-KOR,1229000.0,1229000.0,0.0
2025/06/01,MCA74KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 512GB SPG-KOR,1399000.0,1357030.0,0.03
2025/06/01,MXEQ3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 44 SI AL DN SB SM GPS-KOR,369000.0,339480.0,0.08
2025/06/01,MD7Q4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WF CL 512GB BLU-KOR,1229000.0,1229000.0,0.0
2025/06/01,MXE93KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 40 MI AL MI SB ML GPS-KOR,329000.0,312550.0,0.05
2025/06/01,MNH73KH/A,Mac,Mac Mini,Mac Mini,Mac Mini J474,MAC MINI/10C CPU/16C GPU/16GB/512GB-KOR,1790000.0,1689590.0,0.0561
2025/06/01,MX5R3KH/A,Watch,Ultra 2,Ultra 2 Cell,Ultra 2 Cell,APPLE WATCH ULTRA2 49 NT TI NT TML M-KOR,1299000.0,1299000.0,0.0
2025/06/01,MX2E2KH/A,Accessories,Watch Accessories,Watch Cables & Other,Other Watch Cables,APPLE WATCH CHARGE CABLE USB-A (1 M)-KOR,45000.0,45000.0,0.0
2025/06/01,MW2L3KH/A,Accessories,Connectivity Accessories,Mac Power,87/96W Power Adapter,96W USB-C POWER ADAPTER-KOR,99000.0,89000.0,0.101
2025/06/01,MXCJ3KH/A,Accessories,Mac Accessories,Mac Input Devices,Keyboards,MAGIC KEYBOARD WITH NUMERIC KEYPAD-KOR,169000.0,157170.0,0.07
2025/06/01,MXK83KH/A,Accessories,Mac Accessories,Mac Input Devices,Keyboards,MAGIC KEYBOARD TOUCH ID NUM KEY BL-KOR,279000.0,265050.0,0.05
2025/06/01,MXK73KH/A,Accessories,Mac Accessories,Mac Input Devices,Keyboards,MAGIC KEYBOARD TOUCH ID NUM KEY WH-KOR,249000.0,236550.0,0.05
2025/06/01,MXCL3KH/A,Accessories,Mac Accessories,Mac Input Devices,Keyboards,MAGIC KEYBOARD-KOR,139000.0,132050.0,0.05
2025/06/01,MWR43KH/A,Accessories,iPad Accessories,iPad Keyboards,Magic Keyboard for iPad,IPAD MAGIC KEYBOARD 13 WHITE-KOR,519000.0,478050.0,0.0789
2025/06/01,MWXC3KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 RG AL PLUM SL CEL-KOR,749000.0,749000.0,0.0
2025/06/01,MWX83KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 JB AL INK SL CEL-KOR,749000.0,749000.0,0.0
2025/06/01,MWX73KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 JB AL BK SB ML CEL-KOR,749000.0,749000.0,0.0
2025/06/01,MWX63KH/A,Watch,Series 10,Series 10 Cell,Series 10 Cell,APPLE WATCH 10 42 JB AL BK SB SM CEL-KOR,749000.0,749000.0,0.0
2025/06/01,MWWR3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 JB AL INK SL GPS-KOR,639000.0,607050.0,0.05
2025/06/01,MWWN3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 SI AL BC SL GPS-KOR,639000.0,639000.0,0.0
2025/06/01,MWWJ3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 42 RG AL LB SB ML GPS-KOR,599000.0,587020.0,0.02
2025/06/01,MWWL3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 SI AL DN SB SM GPS-KOR,639000.0,607050.0,0.05
2025/06/01,MWWQ3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 46 JB AL BK SB ML GPS-KOR,639000.0,607050.0,0.05
2025/06/01,MWWF3KH/A,Watch,Series 10,Series 10 GPS,Series 10 GPS,APPLE WATCH 10 42 JB AL BK SB ML GPS-KOR,599000.0,569050.0,0.05
2025/06/01,MCAE4KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 512GB PUR-KOR,1399000.0,1357030.0,0.03
2025/06/01,MXET3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 44 SI AL BC SL GPS-KOR,369000.0,369000.0,0.0
2025/06/01,MCA94KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 512GB BLU-KOR,1399000.0,1357030.0,0.03
2025/06/01,MXEJ3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 44 MI AL MI SB SM GPS-KOR,369000.0,339480.0,0.08
2025/06/01,MXGP3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) Cell,Watch SE (2nd Gen) Cell,APPLE WATCH SE 44 SI AL DN SB SM CEL-KOR,439000.0,403880.0,0.08
2025/06/01,MXEH3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 40 ST AL LG SL GPS-KOR,329000.0,312000.0,0.0517
2025/06/01,MXGF3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) Cell,Watch SE (2nd Gen) Cell,APPLE WATCH SE 40 SI AL DN SB SM CEL-KOR,399000.0,399000.0,0.0
2025/06/01,MCA44KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 256GB STL-KOR,1099000.0,1066030.0,0.03
2025/06/01,MXED3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 40 SI AL DN SB ML GPS-KOR,329000.0,329000.0,0.0
2025/06/01,MD5A4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WIFI 512GB YLW-KOR,979000.0,979000.0,0.0
2025/06/01,MXE73KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 40 MI AL MI SB SM GPS-KOR,329000.0,304000.0,0.076
2025/06/01,MCA34KH/A,iPad,iPad Air,iPad Air 11in (M3),iPad Air 11in (M3),IPAD AIR 11 WIFI 256GB BLU-KOR,1099000.0,1066030.0,0.03
2025/06/01,MXEF3KH/A,Watch,Watch SE (2nd Gen),Watch SE (2nd Gen) GPS,Watch SE (2nd Gen) GPS,APPLE WATCH SE 40 ST AL ST SB SM GPS-KOR,329000.0,283970.0,0.1369
2025/06/01,MD7K4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WF CL 256GB SLV-KOR,929000.0,929000.0,0.0
2025/06/01,MD4Q4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WIFI 512GB SLV-KOR,979000.0,979000.0,0.0
2025/06/01,MD4G4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WIFI 256GB SLV-KOR,678000.0,678000.0,0.0
2025/06/01,MU1H3KH/A,iPhone,iPhone 15 Plus,iPhone 15 Plus,iPhone 15 Plus,IPHONE 15 PLUS BLACK 512GB-KOR,1700000.0,1584000.0,0.0682
2025/06/01,MD4A4KH/A,iPad,iPad Entry,iPad (A16),iPad (A16),IPAD WIFI 128GB BLU-KOR,529000.0,496700.0,0.0611
2025/06/01,MGPL3KH/A,Mac,iMac,iMac 21/24,iMac 24 J456,"IMAC 24"" BLU/8C CPU/8C GPU/8GB/512GB-KOR",1947010.0,1947010.0,0.0
2025/06/01,MXNG2KH/A,Mac,Mac Mini,Mac Mini,Mac Mini J174A,MAC MINI SG/3.0GHZ 6C/8GB/512GB-KOR,1366690.0,1366690.0,0.0
2025/06/01,MU0Y3KH/A,iPhone,iPhone 15 Plus,iPhone 15 Plus,iPhone 15 Plus,IPHONE 15 PLUS BLACK 128GB-KOR,1250000.0,1250000.0,0.0
2025/06/01,MQH63KH/A,Mac,Mac Studio,Mac Studio,Mac Studio J475,MAC STUDIO/24C CPU/60C GPU/64G/1TB-KOR,5990000.0,5455600.0,0.0892
2025/06/01,MQRR3KH/A,Mac,iMac,iMac 21/24,iMac 24 J434,"IMAC 24"" BLU/8CCPU/10CGPU/8GB/512GB-KOR",2560000.0,2375720.0,0.072
2025/06/01,MXE13KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J504,MBP 14 SL/8C/10C GPU/16GB/1TB-KOR,2930000.0,2389730.0,0.1844
2025/06/01,MRX53KH/A,Mac,MacBook Pro,MacBook Pro 13/14,MacBook Pro 14in J514,MBP 14 SB/14C/30C GPU/36G/1T-KOR,4790000.0,4521390.0,0.0561
2025/06/01,MCYT4KH/A,Mac,Mac Mini,Mac Mini,Mac Mini J773,MAC MINI/10C CPU/10C GPU/24GB/512GB-KOR,1490000.0,1445300.0,0.03
2025/06/01,MU9D3KH/A,Mac,Mac Mini,Mac Mini,Mac Mini J773,MAC MINI/10C CPU/10C GPU/16GB/256GB-KOR,890000.0,845500.0,0.05
2025/06/01,MTP23KH/A,iPhone,iPhone 15,iPhone 15,iPhone 15,IPHONE 15 YELLOW 128GB-KOR,1090000.0,1090000.0,0.0
2025/06/01,MTVG3KH/A,iPhone,iPhone 15 Pro,iPhone 15 Pro,iPhone 15 Pro,IPHONE 15 PRO BLUE 1TB-KOR,2300000.0,2070000.0,0.1
2025/06/01,MD3H4KH/A,Mac,iMac,iMac 21/24,iMac 24 J624,IMAC SLV/10CCPU/10CGPU/16/256/NT-KOR,2590000.0,2590000.0,0.0
2025/06/01,MD1W4KH/A,iPhone,iPhone 16e,iPhone 16e,iPhone 16e,IPHONE 16E WHT 256GB-KOR,1140000.0,1140000.0,0.0
2025/06/01,MQ6L3KH/A,iPad,iPad Entry,iPad (10th Gen),iPad (10th Gen),IPAD WF CL 64GB YELLOW-KOR,759000.0,578000.0,0.2385
2025/06/01,MWRJ3KH/A,iPad,iPad Pro,iPad Pro 13in (M4),iPad Pro 13in (M4),IPAD PRO 13 WIFI 2TB SILVER NT-KOR,3749000.0,3636530.0,0.03
2025/06/01,MWV33KH/A,Mac,iMac,iMac 21/24,iMac 24 J624,"IMAC 24"" BLU/10CCPU/10CGPU/16GB/512-KOR",2590000.0,2512300.0,0.03
